P1,0,261502,fritzing
P1,261502,5034,schematic
P1,266536,328938,fritzing
P1,595474,0,EndTask
P2,0,38118,schematic
P2,38118,83753,fritzing
P2,121871,1750,schematic
P2,123621,451,fritzing
P2,124072,148727,schematic
P2,272799,11601,fritzing
P2,284400,1250,schematic
P2,285650,10451,fritzing
P2,296101,16466,schematic
P2,312567,4719,fritzing
P2,317286,58054,schematic
P2,375340,37283,fritzing
P2,412623,57821,schematic
P2,470444,48936,fritzing
P2,519380,75837,schematic
P2,595217,28606,fritzing
P2,623823,9548,schematic
P2,633371,20583,fritzing
P2,653954,7967,schematic
P2,661921,13901,fritzing
P2,675822,67222,schematic
P2,743044,0,EndTask
P3,0,17217,schematic
P3,17217,1151,fritzing
P3,18368,26302,schematic
P3,44670,9682,fritzing
P3,54352,518,schematic
P3,54870,749,fritzing
P3,55619,123510,schematic
P3,179129,3083,fritzing
P3,182212,5219,schematic
P3,187431,38618,fritzing
P3,226049,15384,schematic
P3,241433,517,fritzing
P3,241950,2499,schematic
P3,244449,44003,fritzing
P3,288452,8451,schematic
P3,296903,51323,fritzing
P3,348226,40034,schematic
P3,388260,4682,fritzing
P3,392942,32903,schematic
P3,425845,10201,fritzing
P3,436046,40652,schematic
P3,476698,91914,fritzing
P3,568612,20327,schematic
P3,588939,7884,fritzing
P3,596823,252268,schematic
P3,849091,0,EndTask
P4,0,36153,schematic
P4,36153,771,fritzing
P4,36924,410,schematic
P4,37334,401,fritzing
P4,37735,417,schematic
P4,38152,415,fritzing
P4,38567,285,schematic
P4,38852,399478,fritzing
P4,438330,667,schematic
P4,438997,306038,fritzing
P4,745035,0,EndTask
P5,0,215831,schematic
P5,215831,4150,fritzing
P5,219981,61653,schematic
P5,281634,917,fritzing
P5,282551,916,schematic
P5,283467,1349,fritzing
P5,284816,2951,schematic
P5,287767,8201,fritzing
P5,295968,299082,schematic
P5,595050,0,EndTask